instance,n,u,procs,elapsed
n_018_u_360_11,18,3.6,9,4.07799999999952
n_046_u_920_8,46,9.2,22,22.3979999999992
n_032_u_640_9,32,6.4,15,13.3690000000006
n_046_u_920_9,46,9.2,23,27.5470000000005
n_047_u_940_9,47,9.4,21,22.8909999999996
n_020_u_400_11,20,4,11,4.44599999999991
n_018_u_360_12,18,3.6,9,4.52099999999882
n_040_u_800_7,40,8,20,17.3989999999994
n_024_u_480_11,24,4.8,11,6.65300000000025
n_016_u_320_8,16,3.2,8,3.0099999999984
n_025_u_500_12,25,5,14,7.90400000000045
n_019_u_380_11,19,3.8,10,4.77399999999943
n_013_u_260_10,13,2.6,7,2.19599999999991
n_025_u_500_11,25,5,11,9.43599999999969
n_007_u_140_9,7,1.4,4,0.911000000000058
n_033_u_660_9,33,6.6,16,11.8340000000007
n_049_u_980_7,49,9.8,24,24.1279999999988
n_013_u_260_11,13,2.6,7,2.27399999999943
n_014_u_280_11,14,2.8,7,2.45299999999952
n_041_u_819_8,41,8.2,19,16.6980000000003
n_039_u_780_9,39,7.8,19,15.473
n_048_u_960_9,48,9.6,23,20.9789999999994
n_047_u_940_8,47,9.4,22,24.7790000000005
n_031_u_620_11,31,6.2,14,11.4440000000013
n_048_u_960_7,48,9.6,23,19.6820000000007
n_022_u_440_9,22,4.4,11,5.45100000000093
n_006_u_120_11,6,1.2,4,0.639999999999418
n_025_u_500_10,25,5,12,6.33599999999933
n_020_u_400_12,20,4,10,5.32699999999932
n_047_u_940_7,47,9.4,21,27.857
n_008_u_160_10,8,1.6,5,0.96900000000096
n_016_u_320_9,16,3.2,11,3.21500000000015
n_021_u_420_9,21,4.2,10,6.85100000000057
n_031_u_620_10,31,6.2,15,10.9300000000003
n_028_u_560_9,28,5.6,14,9.38400000000001
n_015_u_300_11,15,3,7,2.62299999999959
n_033_u_660_10,33,6.6,19,11.7430000000004
n_015_u_300_9,15,3,7,2.58500000000095
n_014_u_280_10,14,2.8,8,2.88899999999921
n_034_u_680_9,34,6.8,18,12.621000000001
n_043_u_860_8,43,8.6,21,15.7429999999986
n_041_u_819_7,41,8.2,18,20.4369999999999
n_044_u_880_10,44,8.8,21,19.3819999999996
n_030_u_600_9,30,6,14,9.66799999999967
n_020_u_400_10,20,4,11,5.57099999999991
n_026_u_520_10,26,5.2,11,8.45299999999952
n_049_u_980_8,49,9.8,24,24.9860000000008
n_014_u_280_9,14,2.8,7,3.42400000000089
n_008_u_160_9,8,1.6,6,1.05999999999949
n_010_u_200_10,10,2,6,1.58599999999933
n_039_u_780_10,39,7.8,17,13.110999999999
n_039_u_780_7,39,7.8,19,20.9449999999997
n_041_u_819_9,41,8.2,20,19.2729999999992
n_050_u_1000_7,50,10,23,28.6099999999988
n_019_u_380_12,19,3.8,9,4.86799999999857
n_011_u_220_12,11,2.2,6,1.56400000000031
n_031_u_620_12,31,6.2,15,9.62800000000061
n_006_u_120_12,6,1.2,4,0.763999999999214
n_037_u_740_11,37,7.4,17,16.3510000000006
n_006_u_120_9,6,1.2,3,0.890999999999622
n_050_u_1000_8,50,10,24,25.5429999999997
n_026_u_520_11,26,5.2,12,8.19100000000071
n_008_u_160_11,8,1.6,4,1.15799999999945
n_021_u_420_11,21,4.2,11,5.68000000000029
n_029_u_580_9,29,5.8,15,9.00400000000081
n_042_u_840_9,42,8.4,20,18.869999999999
n_037_u_740_13,37,7.4,17,13.7029999999995
