instance,n,u,procs
n_018_u_080_11,18,"0,8",4
n_006_u_060_11,6,"0,6",4
n_012_u_140_10,12,"1,4",7
n_006_u_100_9,6,1,6
n_012_u_100_10,12,1,6
n_012_u_120_9,12,"1,2",5
n_024_u_140_8,24,"1,4",6
n_024_u_020_12,24,"0,2",2
n_024_u_120_8,24,"1,2",6
n_012_u_060_11,12,"0,6",5
n_012_u_060_10,12,"0,6",3
n_018_u_140_8,18,"1,4",6
n_024_u_140_11,24,"1,4",8
n_012_u_040_11,12,"0,4",3
n_012_u_160_11,12,"1,6",6
n_024_u_020_11,24,"0,2",2
n_006_u_080_11,6,"0,8",5
n_006_u_160_13,6,"1,6",7
n_024_u_080_10,24,"0,8",5
n_024_u_040_9,24,"0,4",3
n_012_u_100_11,12,1,5
n_024_u_080_8,24,"0,8",5
n_006_u_080_12,6,"0,8",5
n_006_u_120_12,6,"1,2",5
n_024_u_160_8,24,"1,6",9
n_024_u_100_10,24,1,5
n_012_u_080_10,12,"0,8",4
n_024_u_040_11,24,"0,4",3
n_006_u_040_13,6,"0,4",4
n_006_u_100_11,6,1,5
n_006_u_020_13,6,"0,2",2
n_024_u_080_12,24,"0,8",5
n_006_u_040_12,6,"0,4",3
n_012_u_160_10,12,"1,6",9
n_024_u_040_12,24,"0,4",3
n_012_u_080_11,12,"0,8",5
n_024_u_040_10,24,"0,4",3
n_024_u_080_11,24,"0,8",5
n_006_u_140_13,6,"1,4",6
n_006_u_080_13,6,"0,8",4
n_012_u_060_13,12,"0,6",4
n_018_u_140_9,18,"1,4",6
n_024_u_080_13,24,"0,8",4
n_006_u_060_12,6,"0,6",3
n_012_u_140_11,12,"1,4",6
n_024_u_120_13,24,"1,2",6
n_018_u_160_11,18,"1,6",8
n_024_u_160_10,24,"1,6",7
n_018_u_080_13,18,"0,8",5
n_024_u_140_13,24,"1,4",6
n_018_u_100_13,18,1,5
n_024_u_160_9,24,"1,6",7
n_024_u_060_10,24,"0,6",4
n_006_u_060_13,6,"0,6",3
n_006_u_040_15,6,"0,4",3
n_024_u_100_12,24,1,5
n_018_u_060_11,18,"0,6",4
n_018_u_020_11,18,"0,2",3
n_024_u_020_13,24,"0,2",2
n_012_u_120_10,12,"1,2",6
n_018_u_160_10,18,"1,6",7
n_024_u_120_12,24,"1,2",5
n_018_u_100_11,18,1,5
n_024_u_060_9,24,"0,6",3
n_018_u_020_13,18,"0,2",2
n_006_u_140_12,6,"1,4",9
n_024_u_100_13,24,1,6
n_018_u_100_12,18,1,5
n_006_u_120_13,6,"1,2",6
n_018_u_020_14,18,"0,2",2
n_018_u_020_12,18,"0,2",2
n_018_u_080_10,18,"0,8",5
n_018_u_120_11,18,"1,2",6
n_024_u_060_12,24,"0,6",4
n_024_u_140_10,24,"1,4",6
n_006_u_100_12,6,1,5
n_018_u_060_10,18,"0,6",4
n_024_u_140_12,24,"1,4",7
n_024_u_160_11,24,"1,6",7
n_018_u_060_12,18,"0,6",4
n_018_u_060_14,18,"0,6",3
n_012_u_060_15,12,"0,6",4
n_024_u_040_14,24,"0,4",3
n_024_u_040_13,24,"0,4",3
n_018_u_120_13,18,"1,2",5
n_024_u_060_11,24,"0,6",4
n_018_u_100_10,18,1,5
n_012_u_120_11,12,"1,2",6
n_012_u_080_15,12,"0,8",5
n_018_u_160_13,18,"1,6",7
n_024_u_020_14,24,"0,2",2
n_012_u_040_13,12,"0,4",3
n_006_u_040_17,6,"0,4",3
n_012_u_140_13,12,"1,4",6
n_018_u_060_13,18,"0,6",4
n_018_u_120_10,18,"1,2",6
n_018_u_140_10,18,"1,4",8
n_024_u_160_12,24,"1,6",8
n_018_u_080_12,18,"0,8",4
n_018_u_040_12,18,"0,4",3
n_012_u_140_12,12,"1,4",5
n_012_u_080_14,12,"0,8",4
n_024_u_040_15,24,"0,4",3
n_012_u_080_13,12,"0,8",5
n_012_u_160_12,12,"1,6",7
n_006_u_020_15,6,"0,2",2
n_018_u_160_12,18,"1,6",8
n_012_u_040_16,12,"0,4",3
n_024_u_020_15,24,"0,2",2
n_018_u_100_15,18,1,5
n_024_u_120_14,24,"1,2",6
n_012_u_060_12,12,"0,6",3
n_006_u_060_17,6,"0,6",4
n_018_u_040_11,18,"0,4",3
n_012_u_040_12,12,"0,4",4
n_018_u_060_15,18,"0,6",4
n_012_u_160_14,12,"1,6",8
n_024_u_080_14,24,"0,8",4
n_006_u_100_13,6,1,5
n_006_u_120_15,6,"1,2",6
n_012_u_100_13,12,1,7
n_012_u_040_14,12,"0,4",3
n_012_u_160_13,12,"1,6",8
n_018_u_020_16,18,"0,2",2
n_018_u_120_15,18,"1,2",5
n_006_u_020_18,6,"0,2",2
n_018_u_040_14,18,"0,4",3
n_006_u_060_15,6,"0,6",3
n_018_u_140_12,18,"1,4",5
n_024_u_060_13,24,"0,6",4
n_018_u_020_15,18,"0,2",2
n_006_u_060_16,6,"0,6",4
n_006_u_120_14,6,"1,2",6
n_006_u_020_14,6,"0,2",3
n_012_u_160_15,12,"1,6",9
n_006_u_040_14,6,"0,4",3
n_018_u_080_14,18,"0,8",5
n_006_u_140_14,6,"1,4",7
n_012_u_020_14,12,"0,2",3
n_012_u_100_15,12,1,6
n_006_u_020_16,6,"0,2",3
n_012_u_040_15,12,"0,4",3
n_006_u_080_15,6,"0,8",5
n_006_u_140_16,6,"1,4",7
n_018_u_100_14,18,1,5
n_018_u_080_15,18,"0,8",5
n_012_u_020_13,12,"0,2",2
n_012_u_080_12,12,"0,8",4
n_018_u_020_17,18,"0,2",2
n_006_u_140_15,6,"1,4",7
n_012_u_140_15,12,"1,4",8
n_006_u_140_17,6,"1,4",5
n_012_u_120_12,12,"1,2",6
n_018_u_140_11,18,"1,4",6
n_012_u_020_16,12,"0,2",2
n_018_u_040_13,18,"0,4",3
n_012_u_100_12,12,1,5
n_006_u_020_17,6,"0,2",2
n_012_u_040_17,12,"0,4",3
n_006_u_080_17,6,"0,8",6
n_012_u_080_17,12,"0,8",4
n_024_u_120_15,24,"1,2",8
n_012_u_060_14,12,"0,6",4
n_006_u_160_15,6,"1,6",8
n_024_u_020_19,24,"0,2",2
n_006_u_060_14,6,"0,6",4
n_024_u_060_14,24,"0,6",4
n_024_u_160_14,24,"1,6",7
n_006_u_020_19,6,"0,2",3
n_018_u_160_14,18,"1,6",8
n_018_u_120_14,18,"1,2",7
n_024_u_160_13,24,"1,6",8
n_024_u_100_15,24,1,5
n_006_u_100_14,6,1,5
n_012_u_140_14,12,"1,4",7
n_024_u_140_14,24,"1,4",6
n_006_u_160_14,6,"1,6",7
n_006_u_120_17,6,"1,2",5
n_024_u_080_15,24,"0,8",4
n_006_u_160_17,6,"1,6",6
n_018_u_120_12,18,"1,2",7
n_006_u_080_14,6,"0,8",4
n_012_u_100_17,12,1,5
n_006_u_060_19,6,"0,6",3
n_006_u_040_16,6,"0,4",3
n_012_u_160_17,12,"1,6",6
n_012_u_120_14,12,"1,2",6
n_024_u_020_18,24,"0,2",2
n_018_u_140_13,18,"1,4",6
n_012_u_020_15,12,"0,2",2
n_024_u_160_16,24,"1,6",7
n_024_u_020_17,24,"0,2",2
n_018_u_060_16,18,"0,6",4
n_012_u_060_16,12,"0,6",4
n_012_u_160_16,12,"1,6",9
n_018_u_040_15,18,"0,4",3
n_018_u_140_14,18,"1,4",6
n_006_u_120_16,6,"1,2",4
n_024_u_100_14,24,1,5
n_012_u_060_17,12,"0,6",4
n_018_u_100_16,18,1,5
n_012_u_080_16,12,"0,8",5
n_006_u_080_19,6,"0,8",4
n_006_u_100_16,6,1,4
n_006_u_040_18,6,"0,4",3
n_018_u_160_15,18,"1,6",7
n_018_u_160_16,18,"1,6",6
n_006_u_140_19,6,"1,4",6
n_006_u_160_16,6,"1,6",7
n_012_u_160_18,12,"1,6",7
n_012_u_120_13,12,"1,2",6
n_006_u_140_18,6,"1,4",6
n_006_u_040_19,6,"0,4",3
n_024_u_060_15,24,"0,6",4
n_012_u_020_17,12,"0,2",2
n_012_u_040_18,12,"0,4",3
n_006_u_060_18,6,"0,6",4
n_012_u_100_16,12,1,5
n_024_u_040_17,24,"0,4",3
n_018_u_040_16,18,"0,4",3
n_012_u_100_14,12,1,5
n_024_u_080_17,24,"0,8",4
n_024_u_020_16,24,"0,2",2
n_024_u_160_18,24,"1,6",8
n_006_u_140_20,6,"1,4",6
n_012_u_140_16,12,"1,4",7
n_006_u_020_20,6,"0,2",3
n_006_u_100_15,6,1,4
n_024_u_040_19,24,"0,4",3
n_012_u_080_18,12,"0,8",4
n_018_u_060_17,18,"0,6",3
n_012_u_120_15,12,"1,2",6
n_024_u_080_16,24,"0,8",5
n_006_u_080_18,6,"0,8",4
n_012_u_120_16,12,"1,2",6
n_024_u_100_16,24,1,6
n_006_u_080_16,6,"0,8",4
n_024_u_140_19,24,"1,4",5
n_006_u_160_18,6,"1,6",7
n_024_u_020_21,24,"0,2",2
n_012_u_020_18,12,"0,2",2
n_018_u_100_17,18,1,5
n_024_u_140_16,24,"1,4",7
n_024_u_040_16,24,"0,4",3
n_006_u_060_20,6,"0,6",4
n_018_u_080_17,18,"0,8",5
n_024_u_100_17,24,1,5
n_024_u_140_15,24,"1,4",6
n_006_u_120_18,6,"1,2",5
n_018_u_020_19,18,"0,2",2
n_024_u_100_18,24,1,7
n_024_u_060_16,24,"0,6",4
n_018_u_160_20,18,"1,6",8
n_018_u_140_16,18,"1,4",7
n_012_u_140_17,12,"1,4",7
n_006_u_100_18,6,1,5
n_006_u_100_17,6,1,4
n_018_u_120_16,18,"1,2",5
n_024_u_100_19,24,1,4
n_012_u_040_19,12,"0,4",3
n_018_u_140_15,18,"1,4",6
n_018_u_160_19,18,"1,6",7
n_024_u_080_19,24,"0,8",4
n_006_u_160_19,6,"1,6",6
n_018_u_140_18,18,"1,4",7
n_018_u_020_21,18,"0,2",2
n_024_u_040_21,24,"0,4",3
n_012_u_140_18,12,"1,4",7
n_024_u_120_19,24,"1,2",5
n_018_u_040_17,18,"0,4",3
n_024_u_120_17,24,"1,2",6
n_006_u_020_21,6,"0,2",3
n_018_u_080_16,18,"0,8",4
n_018_u_060_19,18,"0,6",4
n_024_u_020_20,24,"0,2",3
n_024_u_140_17,24,"1,4",7
n_006_u_120_19,6,"1,2",6
n_024_u_060_18,24,"0,6",4
n_018_u_160_18,18,"1,6",8
n_024_u_080_18,24,"0,8",4
n_024_u_160_15,24,"1,6",7
n_006_u_120_20,6,"1,2",6
n_018_u_020_18,18,"0,2",2
n_018_u_060_18,18,"0,6",3
n_012_u_080_19,12,"0,8",5
n_024_u_020_22,24,"0,2",2
n_012_u_020_19,12,"0,2",2
n_012_u_060_19,12,"0,6",5
n_024_u_140_20,24,"1,4",5
n_024_u_140_18,24,"1,4",7
n_024_u_120_16,24,"1,2",6
n_018_u_020_23,18,"0,2",2
n_024_u_040_20,24,"0,4",3
n_024_u_040_18,24,"0,4",3
n_012_u_040_21,12,"0,4",3
n_012_u_100_18,12,1,5
n_012_u_140_21,12,"1,4",6
n_012_u_160_20,12,"1,6",7
n_006_u_060_21,6,"0,6",3
n_012_u_140_22,12,"1,4",9
n_006_u_040_21,6,"0,4",3
n_018_u_080_18,18,"0,8",5
n_024_u_100_21,24,1,6
n_018_u_040_18,18,"0,4",3
n_012_u_120_20,12,"1,2",6
n_018_u_080_20,18,"0,8",4
n_012_u_120_18,12,"1,2",8
n_012_u_160_22,12,"1,6",7
n_018_u_140_20,18,"1,4",8
n_018_u_080_19,18,"0,8",5
n_012_u_120_17,12,"1,2",6
n_006_u_160_20,6,"1,6",7
n_024_u_060_17,24,"0,6",4
n_006_u_020_23,6,"0,2",2
n_012_u_040_20,12,"0,4",3
n_018_u_120_21,18,"1,2",7
n_018_u_060_21,18,"0,6",4
n_018_u_160_17,18,"1,6",7
n_018_u_120_17,18,"1,2",6
n_024_u_100_20,24,1,7
n_012_u_060_18,12,"0,6",4
n_024_u_120_18,24,"1,2",6
n_006_u_120_23,6,"1,2",6
n_018_u_080_21,18,"0,8",5
n_018_u_040_20,18,"0,4",3
n_024_u_160_19,24,"1,6",10
n_018_u_120_18,18,"1,2",6
n_024_u_100_22,24,1,5
n_006_u_080_20,6,"0,8",5
n_006_u_140_22,6,"1,4",8
n_024_u_060_20,24,"0,6",4
n_006_u_100_22,6,1,6
n_006_u_020_22,6,"0,2",2
n_024_u_160_17,24,"1,6",7
n_006_u_120_24,6,"1,2",7
n_006_u_140_24,6,"1,4",6
n_006_u_100_20,6,1,5
n_006_u_100_19,6,1,6
n_012_u_140_20,12,"1,4",9
n_024_u_060_19,24,"0,6",4
n_012_u_020_20,12,"0,2",2
n_024_u_140_21,24,"1,4",8
n_018_u_160_22,18,"1,6",7
n_018_u_020_20,18,"0,2",2
n_012_u_160_19,12,"1,6",7
n_018_u_100_21,18,1,6
n_018_u_100_19,18,1,5
n_006_u_040_20,6,"0,4",3
n_018_u_020_22,18,"0,2",2
n_012_u_060_22,12,"0,6",4
n_024_u_160_20,24,"1,6",6
n_024_u_080_20,24,"0,8",5
n_012_u_160_24,12,"1,6",7
n_018_u_060_20,18,"0,6",4
n_012_u_060_21,12,"0,6",4
n_012_u_020_22,12,"0,2",2
n_012_u_040_23,12,"0,4",3
n_018_u_120_19,18,"1,2",5
n_012_u_060_20,12,"0,6",5
n_006_u_120_22,6,"1,2",6
n_012_u_060_23,12,"0,6",3
n_006_u_140_21,6,"1,4",6
n_006_u_040_24,6,"0,4",4
n_024_u_120_20,24,"1,2",7
n_006_u_160_21,6,"1,6",6
n_006_u_020_25,6,"0,2",2
n_024_u_020_23,24,"0,2",2
n_012_u_100_19,12,1,4
n_006_u_040_23,6,"0,4",3
n_012_u_120_22,12,"1,2",7
n_018_u_040_19,18,"0,4",3
n_006_u_160_23,6,"1,6",6
n_018_u_160_21,18,"1,6",9
n_006_u_140_26,6,"1,4",6
n_012_u_100_20,12,1,4
n_006_u_040_22,6,"0,4",4
n_018_u_120_22,18,"1,2",6
n_006_u_040_25,6,"0,4",3
n_018_u_140_17,18,"1,4",5
n_018_u_040_22,18,"0,4",3
n_012_u_100_23,12,1,5
n_012_u_140_19,12,"1,4",7
n_018_u_100_18,18,1,5
n_018_u_160_23,18,"1,6",8
n_018_u_080_23,18,"0,8",5
n_006_u_080_21,6,"0,8",4
n_024_u_080_21,24,"0,8",4
n_012_u_080_21,12,"0,8",4
n_012_u_080_23,12,"0,8",5
n_018_u_120_20,18,"1,2",6
n_012_u_040_22,12,"0,4",3
n_018_u_080_22,18,"0,8",5
n_006_u_100_24,6,1,6
n_018_u_080_24,18,"0,8",4
n_018_u_040_21,18,"0,4",3
n_024_u_140_22,24,"1,4",9
n_006_u_080_22,6,"0,8",5
n_024_u_080_22,24,"0,8",5
n_024_u_120_21,24,"1,2",6
n_012_u_160_21,12,"1,6",6
n_012_u_020_21,12,"0,2",2
n_006_u_020_24,6,"0,2",2
n_006_u_080_25,6,"0,8",4
n_012_u_020_24,12,"0,2",2
n_006_u_060_23,6,"0,6",3
n_012_u_140_24,12,"1,4",6
n_006_u_060_25,6,"0,6",3
n_012_u_160_23,12,"1,6",6
n_024_u_040_22,24,"0,4",3
n_006_u_120_21,6,"1,2",5
n_018_u_100_20,18,1,5
n_012_u_100_21,12,1,5
n_018_u_120_23,18,"1,2",5
n_024_u_080_25,24,"0,8",4
n_012_u_020_23,12,"0,2",2
n_024_u_060_24,24,"0,6",4
n_012_u_100_24,12,1,5
n_018_u_060_22,18,"0,6",4
n_006_u_140_23,6,"1,4",6
n_024_u_060_22,24,"0,6",4
n_012_u_060_25,12,"0,6",4
n_006_u_160_22,6,"1,6",8
n_012_u_060_24,12,"0,6",4
n_006_u_120_26,6,"1,2",5
