n,u,Algorithm,mean,sd,min_p,max_p,n_obs,CI
24,"4,8",S-GA-FTpEDF,"11,52","0,931095470674304",10,14,50,"0,264614404931954"
25,5,S-GA-FTpEDF,"12,2","0,880630571852711",11,14,50,"0,250272439373947"
26,"5,2",S-GA-FTpEDF,"12,52","1,18218062089013",11,17,50,"0,335972015084963"
27,"5,4",S-GA-FTpEDF,"13,06","1,13227241259625",11,16,50,"0,321788259224418"
28,"5,6",S-GA-FTpEDF,"13,28","1,01096034359738",11,16,50,"0,287311750681258"
29,"5,8",S-GA-FTpEDF,"14,02","1,02000400159279",13,17,50,"0,289881929845733"
30,6,S-GA-FTpEDF,"14,52","1,12920416259254",13,18,50,"0,32091627222149"
31,"6,2",S-GA-FTpEDF,"14,7","0,97415583549899",13,18,50,"0,276852025211628"
32,"6,4",S-GA-FTpEDF,"15,14","1,10675108275695",13,18,50,"0,314535177536019"
33,"6,6",S-GA-FTpEDF,"15,46","1,07304639761222",14,19,50,"0,304956412002415"
34,"6,8",S-GA-FTpEDF,"15,84","0,933721979335325",14,18,50,"0,265360850434348"
35,7,S-GA-FTpEDF,"16,74","1,15723103720449",15,21,50,"0,328881421855579"
36,"7,2",S-GA-FTpEDF,"16,8","0,947607082958686",15,19,50,"0,26930695322234"
37,"7,4",S-GA-FTpEDF,"17,44","1,26426553656215",16,21,50,"0,359300290002584"
38,"7,6",S-GA-FTpEDF,"17,96","1,22823915772598",16,21,50,"0,349061706422448"
39,"7,8",S-GA-FTpEDF,"18,3","1,19948968741048",16,22,50,"0,340891197361613"
40,8,S-GA-FTpEDF,"18,66","1,3032142367772",16,23,50,"0,370369388129347"
41,"8,2",S-GA-FTpEDF,"18,86","1,03035559544326",17,23,50,"0,292823820267404"
42,"8,4",S-GA-FTpEDF,"19,5","1,38873014965883",17,24,50,"0,394672741665153"
43,"8,6",S-GA-FTpEDF,"20,32","1,09619006247148",19,23,50,"0,311533768780062"
44,"8,8",S-GA-FTpEDF,"20,4","1,1780301787479",18,24,50,"0,334792472479227"
45,9,S-GA-FTpEDF,"20,9","1,18235323980335",19,24,50,"0,3360210728373"
46,"9,2",S-GA-FTpEDF,"21,26","1,0654116766848",19,24,50,"0,302786648322255"
47,"9,4",S-GA-FTpEDF,"21,42","0,927801878921687",20,24,50,"0,263678376512573"
48,"9,6",S-GA-FTpEDF,"22,24","1,17038280847223",21,27,50,"0,332619113894069"
49,"9,8",S-GA-FTpEDF,"22,68","1,21956834116646",20,27,50,"0,346597487621651"
50,10,S-GA-FTpEDF,"22,9","1,16496474502144",21,26,50,"0,331079317298477"
