instance,n,u,procs,elapsed
n_026_u_520_9,26,5.2,9,186.278
n_014_u_280_8,14,2.8,5,58.181
n_045_u_900_8,45,9,14,384.694
n_049_u_980_6,49,9.8,15,436.896
n_019_u_380_11,19,3.8,6,95.8429999999998
n_042_u_840_6,42,8.4,13,335.516
n_005_u_100_11,5,1,3,51.136
n_020_u_400_9,20,4,7,95.721
n_039_u_780_9,39,7.8,13,394.534
n_044_u_880_9,44,8.8,16,426.549
n_006_u_120_11,6,1.2,3,14.4280000000001
n_031_u_620_10,31,6.2,10,201.886
n_009_u_180_8,9,1.8,4,29.2270000000001
n_012_u_240_10,12,2.4,4,37.4860000000001
n_024_u_480_11,24,4.8,8,122.816
n_041_u_819_7,41,8.2,12,347.511
n_011_u_220_11,11,2.2,4,33.3030000000001
n_018_u_360_11,18,3.6,7,86.0919999999999
n_050_u_1000_6,50,10,15,488.241
n_026_u_520_10,26,5.2,8,142.239
n_040_u_800_8,40,8,12,280.797
n_016_u_320_8,16,3.2,5,62.9019999999998
n_046_u_920_9,46,9.2,14,380.133
n_025_u_500_12,25,5,7,128.809
n_008_u_160_9,8,1.6,4,26.2049999999999
n_007_u_140_10,7,1.4,3,14.346
n_019_u_380_9,19,3.8,7,117.514
n_048_u_960_9,48,9.6,14,499.528
n_018_u_360_12,18,3.6,8,80.461
n_042_u_840_8,42,8.4,14,358.732
n_036_u_720_9,36,7.2,11,215.188
n_013_u_260_11,13,2.6,4,43.6990000000001
n_047_u_940_7,47,9.4,15,460.716
n_009_u_180_10,9,1.8,4,25.681
n_019_u_380_12,19,3.8,7,93.2279999999998
n_041_u_819_6,41,8.2,13,463.029
n_017_u_340_8,17,3.4,6,69.2860000000001
n_037_u_740_10,37,7.4,11,351.459
n_015_u_300_11,15,3,6,50.7710000000002
n_032_u_640_11,32,6.4,11,218.432
n_022_u_440_9,22,4.4,7,105.683
n_046_u_920_8,46,9.2,17,524.822
n_049_u_980_7,49,9.8,16,501.874
n_038_u_760_10,38,7.6,11,270.797
n_041_u_819_8,41,8.2,12,314.176
n_028_u_560_9,28,5.6,9,205.771
n_008_u_160_8,8,1.6,4,28.145
n_005_u_100_12,5,1,3,13.3920000000001
n_025_u_500_11,25,5,8,123.083
n_014_u_280_9,14,2.8,5,50.184
n_031_u_620_11,31,6.2,10,216.755
n_020_u_400_11,20,4,7,86.0530000000001
n_008_u_160_10,8,1.6,4,16.7170000000001
n_042_u_840_7,42,8.4,13,389.049
n_040_u_800_7,40,8,13,346.429
