instance,n,u,procs,elapsed,passive
n_018_u_360_11,18,3.6,10,0.0660000000000003,14
n_045_u_900_9,45,9,23,0.348,36
n_031_u_620_9,31,6.2,15,0.18,25
n_018_u_360_9,18,3.6,10,0.0650000000000002,14
n_023_u_459_9,23,4.6,13,0.0839999999999999,18
n_045_u_900_8,45,9,21,0.352,39
n_020_u_400_9,20,4,11,0.0939999999999999,16
n_039_u_780_7,39,7.8,20,0.29,30
n_024_u_480_10,24,4.8,12,0.129,19
n_048_u_960_6,48,9.6,24,0.456,39
n_045_u_900_7,45,9,23,0.418,35
n_032_u_640_9,32,6.4,17,0.174,26
n_006_u_120_9,6,1.2,3,0.012,5
n_019_u_380_12,19,3.8,10,0.0719999999999998,13
n_015_u_300_11,15,3,8,0.0419999999999998,11
n_042_u_840_6,42,8.4,23,0.324,34
n_022_u_440_8,22,4.4,12,0.102,18
n_012_u_240_11,12,2.4,6,0.0389999999999997,8
n_039_u_780_8,39,7.8,20,0.289,31
n_027_u_540_9,27,5.4,13,0.153,21
n_005_u_100_11,5,1,3,0.0839999999999999,4
n_012_u_240_10,12,2.4,6,0.0390000000000001,10
n_023_u_459_8,23,4.6,14,0.0959999999999999,18
n_017_u_340_9,17,3.4,10,0.0649999999999999,13
n_006_u_120_10,6,1.2,4,0.012,5
n_009_u_180_8,9,1.8,6,0.02,7
n_025_u_500_9,25,5,13,0.151,18
n_040_u_800_8,40,8,20,0.34,33
n_012_u_240_9,12,2.4,7,0.0350000000000001,10
n_041_u_819_6,41,8.2,20,0.324,32
n_021_u_420_8,21,4.2,10,0.097,16
n_031_u_620_11,31,6.2,16,0.179,23
n_021_u_420_10,21,4.2,10,0.0789999999999997,18
n_007_u_140_10,7,1.4,4,0.0169999999999999,6
n_030_u_600_8,30,6,14,0.229,22
n_015_u_300_8,15,3,8,0.0540000000000003,13
n_024_u_480_11,24,4.8,12,0.106,20
n_047_u_940_8,47,9.4,24,0.353,38
n_049_u_980_6,49,9.8,25,0.454,38
n_040_u_800_9,40,8,20,0.265,33
n_008_u_160_8,8,1.6,6,0.0209999999999999,6
n_047_u_940_7,47,9.4,24,0.397,38
n_026_u_520_9,26,5.2,14,0.132,20
n_007_u_140_11,7,1.4,5,0.012,6
n_050_u_1000_6,50,10,26,0.468,41
n_046_u_920_7,46,9.2,24,0.421,37
n_024_u_480_12,24,4.8,14,0.137,18
n_019_u_380_10,19,3.8,10,0.0820000000000003,17
n_048_u_960_8,48,9.6,24,0.406,39
n_029_u_580_10,29,5.8,15,0.143,22
n_032_u_640_10,32,6.4,18,0.174,25
n_040_u_800_7,40,8,20,0.32,33
n_018_u_360_12,18,3.6,10,0.0789999999999997,13
n_019_u_380_11,19,3.8,12,0.0739999999999998,15
n_014_u_280_10,14,2.8,8,0.052,11
n_007_u_140_9,7,1.4,4,0.016,5
n_014_u_280_9,14,2.8,7,0.0500000000000003,10
n_048_u_960_7,48,9.6,24,0.401,39
n_016_u_320_8,16,3.2,8,0.0609999999999999,12
n_028_u_560_12,28,5.6,14,0.118,22
n_013_u_260_9,13,2.6,8,0.0409999999999999,10
n_025_u_500_11,25,5,13,0.111,20
n_022_u_440_9,22,4.4,11,0.105,20
n_015_u_300_10,15,3,8,0.0499999999999998,12
n_046_u_920_8,46,9.2,23,0.429,36
n_020_u_400_11,20,4,12,0.0910000000000002,16
n_025_u_500_10,25,5,14,0.107,20
n_036_u_720_10,36,7.2,20,0.171,30
n_025_u_500_12,25,5,14,0.138,19
n_020_u_400_12,20,4,11,0.077,16
n_033_u_660_9,33,6.6,18,0.243,26
n_017_u_340_8,17,3.4,9,0.0709999999999997,13
n_030_u_600_10,30,6,15,0.134,24
n_041_u_819_8,41,8.2,21,0.362,33
n_031_u_620_12,31,6.2,16,0.198,25
n_046_u_920_9,46,9.2,24,0.429,37
n_021_u_420_9,21,4.2,11,0.108,17
n_043_u_860_8,43,8.6,23,0.329,35
n_013_u_260_10,13,2.6,7,0.0379999999999998,11
n_031_u_620_10,31,6.2,16,0.204,25
n_008_u_160_10,8,1.6,5,0.024,6
n_041_u_819_9,41,8.2,21,0.333,33
n_015_u_300_9,15,3,7,0.0699999999999998,12
n_042_u_840_7,42,8.4,23,0.35,35
n_032_u_640_13,32,6.4,16,0.187,25
n_010_u_200_10,10,2,7,0.0270000000000001,9
n_049_u_980_8,49,9.8,25,0.406,41
n_008_u_160_11,8,1.6,5,0.0169999999999999,5
n_020_u_400_10,20,4,11,0.0909999999999997,15
n_028_u_560_9,28,5.6,16,0.155,23
n_043_u_860_7,43,8.6,20,0.319,35
n_009_u_180_9,9,1.8,6,0.0190000000000001,7
n_013_u_260_11,13,2.6,7,0.0459999999999998,11
n_047_u_940_9,47,9.4,23,0.454,39
n_033_u_660_10,33,6.6,20,0.238,26
n_050_u_1000_9,50,10,24,0.389,42
n_042_u_840_9,42,8.4,21,0.34,34
n_010_u_200_9,10,2,5,0.0270000000000001,8
n_027_u_540_11,27,5.4,14,0.137,20
n_026_u_520_10,26,5.2,12,0.132,23
n_009_u_180_11,9,1.8,5,0.0219999999999998,7
n_036_u_720_9,36,7.2,17,0.241,29
n_016_u_320_10,16,3.2,8,0.0620000000000003,13
