n,u,Algorithm,mean,sd,min_time,max_time,n_obs,CI
34,"6,8",S-GA-FTpEDF,"283,8513","23,8919937475861","242,797","343,364",50,"6,7900294945876"
35,7,S-GA-FTpEDF,"295,21682","21,2466274795002","262,817","348,75",50,"6,03822471956313"
36,"7,2",S-GA-FTpEDF,"309,00244","24,3981275947352","251,374","371,462",50,"6,93387114240733"
37,"7,4",S-GA-FTpEDF,"327,07722","24,4892055823102","284,72","408,026",50,"6,95975522008103"
38,"7,6",S-GA-FTpEDF,"344,77518","28,0208265240229","270,089","392,331",50,"7,96343078651864"
39,"7,8",S-GA-FTpEDF,"356,68744","25,9035719341041","309,415","430,15",50,"7,36171368977983"
40,8,S-GA-FTpEDF,"373,86934","28,0266621634632","304,299000000001","432,291",50,"7,96508925689739"
41,"8,2",S-GA-FTpEDF,"389,85864","27,8038267310126","345,535","471,3",50,"7,90176012770189"
42,"8,4",S-GA-FTpEDF,"415,4907","38,3159144381901","352,323","543,168000000001",50,"10,8892623987771"
43,"8,6",S-GA-FTpEDF,"425,97996","25,1151000598997","368,953","480,364",50,"7,13763246248411"
44,"8,8",S-GA-FTpEDF,"442,55888","35,9106143683428","356,174","513,724999999999",50,"10,2056836824028"
45,9,S-GA-FTpEDF,"467,866","34,2001298076066","405,738","567,899",50,"9,71956934886758"
46,"9,2",S-GA-FTpEDF,"480,62256","34,8405072763276","376,485","566,238",50,"9,9015626118084"
47,"9,4",S-GA-FTpEDF,"509,87342","35,1008147548266","453,501","622,464",50,"9,97554117865984"
48,"9,6",S-GA-FTpEDF,"536,67424","36,0201838172287","476,972","617,87",50,"10,2368229752346"
49,"9,8",S-GA-FTpEDF,"553,65788","34,9736150878321","490,053","616,618",50,"9,93939143327989"
50,10,S-GA-FTpEDF,"573,83506","37,0056043728018","491,794","646,253",50,"10,5168763984693"
