instance,n,u,procs,elapsed
n_031_u_620_14,31,6.2,12,0.962280000000028
n_017_u_340_12,17,3.4,8,0.260339999999996
n_017_u_340_9,17,3.4,8,0.332540000000008
n_039_u_780_11,39,7.8,16,1.38178
n_020_u_400_13,20,4,10,0.389579999999988
n_006_u_120_13,6,1.2,3,0.0402399999999762
n_016_u_320_10,16,3.2,6,0.346280000000006
n_022_u_440_12,22,4.4,11,0.512479999999996
n_034_u_680_10,34,6.8,16,1.31286
n_029_u_580_10,29,5.8,12,0.821579999999994
n_041_u_819_8,41,8.2,16,2.35906000000002
n_050_u_1000_8,50,10,21,2.8823
n_029_u_580_12,29,5.8,13,1.03815999999999
n_033_u_660_11,33,6.6,14,1.24150000000001
n_008_u_160_10,8,1.6,4,0.0472199999999794
n_034_u_680_13,34,6.8,14,1.37558000000001
n_029_u_580_9,29,5.8,13,1.00998
n_043_u_860_7,43,8.6,18,2.02444000000004
n_024_u_480_13,24,4.8,10,0.555279999999984
n_023_u_459_12,23,4.6,9,0.422299999999996
n_019_u_380_13,19,3.8,9,0.368919999999998
n_038_u_760_11,38,7.6,15,1.69889999999999
n_010_u_200_9,10,2,5,0.0997200000000158
n_028_u_560_12,28,5.6,12,0.88655999999999
n_024_u_480_14,24,4.8,10,0.511820000000006
n_005_u_100_13,5,1,3,0.0300599999999758
n_028_u_560_10,28,5.6,11,0.820080000000016
n_045_u_900_10,45,9,19,2.49185999999998
n_017_u_340_10,17,3.4,8,0.262959999999984
n_027_u_540_12,27,5.4,12,0.80681999999997
n_030_u_600_12,30,6,15,0.960319999999992
n_019_u_380_14,19,3.8,9,0.465740000000006
n_012_u_240_12,12,2.4,7,0.148780000000006
n_034_u_680_11,34,6.8,15,1.32232
n_038_u_760_12,38,7.6,16,1.52205999999998
n_005_u_100_14,5,1,3,0.0248400000000038
n_046_u_920_10,46,9.2,17,2.50220000000002
n_035_u_700_10,35,7,15,1.59626
n_018_u_360_14,18,3.6,8,0.302799999999988
n_021_u_420_11,21,4.2,8,0.507180000000008
n_042_u_840_8,42,8.4,17,2.73308
n_013_u_260_12,13,2.6,7,0.169700000000012
n_009_u_180_10,9,1.8,4,0.0815000000000146
n_033_u_660_13,33,6.6,14,1.43003999999997
n_018_u_360_15,18,3.6,8,0.303400000000002
n_023_u_459_10,23,4.6,10,0.571840000000012
n_038_u_760_13,38,7.6,18,1.71317999999999
n_005_u_100_15,5,1,3,0.0240999999999986
n_029_u_580_11,29,5.8,13,0.886680000000014
n_035_u_700_11,35,7,15,1.50614000000001
n_044_u_880_13,44,8.8,20,2.22402000000002
n_030_u_600_10,30,6,13,1.02696
n_036_u_720_10,36,7.2,16,1.3841
n_041_u_819_10,41,8.2,18,2.01665999999998
n_044_u_880_12,44,8.8,19,2.17114000000002
n_025_u_500_13,25,5,12,0.60061999999998
n_011_u_220_15,11,2.2,6,0.11
n_008_u_160_12,8,1.6,4,0.059900000000016
n_036_u_720_12,36,7.2,14,1.29296000000002
n_030_u_600_13,30,6,13,1.17206000000002
n_039_u_780_12,39,7.8,18,1.69189999999999
n_011_u_220_14,11,2.2,6,0.110800000000017
n_006_u_120_14,6,1.2,3,0.0372200000000158
n_045_u_900_14,45,9,19,2.21171999999998
n_030_u_600_11,30,6,13,0.830339999999996
n_018_u_360_16,18,3.6,8,0.280999999999986
n_046_u_920_11,46,9.2,19,2.55942
n_022_u_440_11,22,4.4,10,0.467099999999992
n_032_u_640_14,32,6.4,15,1.00163999999997
n_033_u_660_14,33,6.6,13,1.27056
n_035_u_700_13,35,7,16,1.25581999999999
n_012_u_240_16,12,2.4,6,0.145039999999972
n_040_u_800_11,40,8,16,1.92338000000003
